Category,Rank,Player,Value,Metric
Unknown,46,Mohamed Ayman Sadil,3,Goals
Unknown,47,Oussama Raoui,3,Goals
Unknown,48,Yunis Abdelhamid,3,Goals
Unknown,49,Hamza Elowasti,3,Goals
Unknown,50,Badr Banoun,3,Goals
Unknown,1,Abdel Hamid Maâli,1.19,/90
Unknown,2,Achref Habbassi,0.63,/90
Unknown,3,Anas Tahiri,0.61,/90
Unknown,4,Mohammed Abu Zrayq,0.52,/90
Unknown,5,Hakim Ziyech,0.49,/90
Unknown,6,Anas Soufeir,0.45,/90
Unknown,7,Zinédine Machach,0.42,/90
Unknown,8,Ramiro Vaca Ponce,0.41,/90
Unknown,9,Nacer Moustaghfir,0.4,/90
Unknown,10,Anass Eddaou,0.38,/90
Unknown,11,Mouad Goullous,0.37,/90
Unknown,12,Mohamed Moufid,0.35,/90
Unknown,13,Soufiane Tazi,0.33,/90
Unknown,14,Mohssine Abba,0.33,/90
Unknown,15,Reda Slim,0.32,/90
Unknown,16,Abdelfattah Hadraf,0.31,/90
Unknown,17,Abderrazak Nakous,0.31,/90
Unknown,18,Mountassir Lahtimi,0.3,/90
Unknown,19,Youssef Arbidi,0.3,/90
Unknown,20,Hamza Ait Allah,0.29,/90
Unknown,21,Hamza El Moudene,0.28,/90
Unknown,22,Walid Nassi Ouled Bentle,0.28,/90
Unknown,23,Oussama Zemraoui,0.27,/90
Unknown,24,Ismail Mihrab,0.27,/90
Unknown,25,Oussama Hafari,0.27,/90
Unknown,26,Mohamed Morabit,0.27,/90
Unknown,27,Ayoub Benaadi,0.27,/90
Unknown,28,Amine Balich,0.25,/90
Unknown,29,Achraf Harmach,0.25,/90
Unknown,30,Mohamed Al Makahasi,0.24,/90
Unknown,31,Hamza El Moussaoui,0.24,/90
Unknown,32,Mamadou Lamine Camara,0.24,/90
Unknown,33,Khalid Baba,0.22,/90
Unknown,34,Imad Khannouss,0.22,/90
Unknown,35,Mohcine Bouriga,0.21,/90
Unknown,36,Ahmed Hammoudan,0.21,/90
Unknown,37,Mouad Dahak,0.2,/90
Unknown,38,Mohamed Bouchouari,0.19,/90
Unknown,39,Loay El Moussaoui,0.19,/90
Unknown,40,Amine Azri,0.19,/90
Unknown,41,Brahim Amzili,0.19,/90
Unknown,42,Mustapha Sahd,0.19,/90
Unknown,43,Thembinkosi Lorch,0.18,/90
Unknown,44,Amine Souane,0.18,/90
